,LSOA,population_per_hectare
289,E01020842,17.5
290,E01020797,3.7
291,E01020798,37.9
292,E01020799,55.9
293,E01020808,4.1
294,E01020821,2.4
295,E01020822,2.1
296,E01020823,52.1
297,E01020835,28.6
298,E01020836,5.9
299,E01020803,1.5
300,E01020805,35.5
301,E01033203,6.3
302,E01020796,1.3
303,E01020828,0.2
304,E01020829,14.4
305,E01020830,15.4
306,E01020801,37.0
307,E01020802,3.4
308,E01020838,3.7
309,E01020839,21.0
310,E01020840,7.9
311,E01020841,49.4
312,E01020813,30.2
313,E01020814,37.9
314,E01020815,3.4
315,E01020848,36.3
316,E01020850,19.8
317,E01020851,12.9
318,E01020816,32.9
319,E01020844,43.4
320,E01020847,48.6
321,E01020849,38.7
322,E01020825,33.1
323,E01020831,34.4
324,E01020833,2.4
325,E01020834,45.0
326,E01020824,29.3
327,E01020826,2.1
328,E01020832,30.5
329,E01020845,43.2
330,E01020846,9.4
331,E01020856,2.4
332,E01020858,1.8
333,E01020859,0.8
334,E01020860,9.9
335,E01020861,0.6
336,E01020862,0.5
337,E01020864,0.2
338,E01020867,0.3
339,E01020857,0.1
340,E01020863,0.1
341,E01020865,0.1
342,E01020866,0.1
343,E01020852,25.1
344,E01020853,5.0
345,E01020854,5.3
346,E01020855,25.3
347,E01020889,0.1
348,E01020890,0.5
349,E01020891,0.1
350,E01020905,8.6
351,E01020906,0.2
352,E01020876,3.7
353,E01020878,33.5
354,E01020887,3.3
355,E01020892,10.3
356,E01020894,1.0
357,E01020898,39.8
358,E01020877,34.3
359,E01020879,17.5
360,E01020893,1.7
361,E01020899,3.2
362,E01020903,1.1
363,E01020904,5.9
364,E01020873,21.8
365,E01020875,1.1
366,E01020900,11.9
367,E01020901,26.3
368,E01020902,18.9
369,E01020868,9.9
370,E01020869,5.5
371,E01020874,7.5
372,E01020880,5.7
373,E01020881,9.8
374,E01020870,28.2
375,E01020871,61.3
376,E01020872,24.3
377,E01020883,21.0
378,E01020886,66.6
379,E01020882,2.5
380,E01020888,1.6
381,E01020895,19.2
382,E01020896,38.3
383,E01020897,6.8
384,E01020884,53.8
385,E01020885,33.1
386,E01020907,27.5
387,E01020908,24.6
388,E01020909,51.1
389,E01011954,51.6
390,E01011969,15.4
391,E01011970,31.5
392,E01011971,66.4
393,E01033465,38.7
394,E01033467,28.7
395,E01011952,36.0
396,E01011953,21.4
397,E01011991,53.9
398,E01011992,11.8
399,E01011993,29.3
400,E01011994,13.9
401,E01011955,47.3
402,E01011957,51.1
403,E01032540,33.7
404,E01032541,34.8
405,E01033466,60.4
406,E01011973,82.8
407,E01011974,19.5
408,E01011975,119.8
409,E01011976,86.7
410,E01011965,44.8
411,E01011966,73.5
412,E01011983,19.2
413,E01012002,47.0
414,E01011951,66.7
415,E01011964,74.6
416,E01011967,100.7
417,E01011999,27.5
418,E01012000,26.2
419,E01011950,109.6
420,E01011986,50.0
421,E01011987,87.4
422,E01012001,16.2
423,E01011949,37.4
424,E01011980,21.1
425,E01011981,34.7
426,E01011984,24.6
427,E01011985,34.2
428,E01011988,40.8
429,E01011989,7.0
430,E01011990,17.6
431,E01011995,54.0
432,E01011996,44.1
433,E01011997,13.8
434,E01011998,1.4
435,E01011961,45.3
436,E01011962,54.5
437,E01011977,51.3
438,E01011978,39.1
439,E01011979,72.8
440,E01011959,0.5
441,E01011960,48.9
442,E01011963,48.6
443,E01011968,1.8
444,E01011982,6.6
445,E01012003,11.4
446,E01012005,46.5
447,E01012068,63.5
448,E01012092,89.2
449,E01012093,173.2
450,E01012094,62.8
451,E01033468,5.5
452,E01012058,102.5
453,E01012059,36.8
454,E01012060,33.8
455,E01012061,22.4
456,E01012036,153.2
457,E01012037,88.1
458,E01012038,173.1
459,E01012039,103.3
460,E01012040,163.3
461,E01012041,19.3
462,E01012074,46.1
463,E01012075,29.0
464,E01012076,68.2
465,E01012077,30.2
466,E01012088,48.6
467,E01012078,109.6
468,E01012079,65.0
469,E01012080,26.3
470,E01012081,75.9
471,E01012026,43.7
472,E01012027,49.6
473,E01033469,43.1
474,E01012015,63.7
475,E01012016,35.3
476,E01012017,44.1
477,E01012089,40.7
478,E01012090,48.7
479,E01012091,35.2
480,E01012011,23.5
481,E01012012,43.1
482,E01012013,14.2
483,E01012014,52.1
484,E01012053,58.8
485,E01012054,75.3
486,E01012055,54.7
487,E01012056,79.8
488,E01012057,39.5
489,E01012082,56.8
490,E01012083,49.2
491,E01012084,54.5
492,E01012085,49.4
493,E01012018,22.5
494,E01012019,69.3
495,E01012020,37.7
496,E01012021,18.9
497,E01012007,17.2
498,E01012008,47.6
499,E01012009,38.0
500,E01012010,33.8
501,E01012046,10.2
502,E01012047,44.8
503,E01012048,29.7
504,E01012049,47.7
505,E01012050,75.4
506,E01012051,72.9
507,E01012052,22.6
508,E01012022,6.9
509,E01012023,27.9
510,E01012024,41.5
511,E01012025,58.0
512,E01012065,24.1
513,E01012066,16.9
514,E01012067,33.0
515,E01012042,41.8
516,E01012043,39.4
517,E01012044,33.6
518,E01012045,50.9
519,E01032552,42.7
