,LSOA,population_per_hectare
9533,E01013479,23.3
9534,E01013593,40.3
9535,E01013595,5.2
9536,E01013597,42.6
9537,E01013598,26.4
9538,E01013556,50.9
9539,E01013557,38.1
9540,E01013558,19.8
9541,E01013559,59.9
9542,E01013564,19.6
9543,E01013480,60.2
9544,E01013483,100.2
9545,E01013485,161.1
9546,E01013565,120.0
9547,E01013566,116.4
9548,E01013455,30.2
9549,E01013458,36.9
9550,E01013542,16.0
9551,E01013546,43.9
9552,E01013481,79.5
9553,E01013484,98.3
9554,E01013486,81.5
9555,E01013487,77.7
9556,E01033166,20.5
9557,E01033167,32.6
9558,E01013540,23.5
9559,E01013560,35.8
9560,E01013561,40.3
9561,E01013562,34.3
9562,E01013563,51.4
9563,E01013459,110.8
9564,E01013567,149.4
9565,E01013568,70.4
9566,E01013569,70.1
9567,E01013539,57.3
9568,E01013541,22.4
9569,E01013543,32.0
9570,E01013544,17.0
9571,E01013545,30.5
9572,E01013488,37.3
9573,E01013489,40.5
9574,E01013490,27.1
9575,E01013491,52.1
9576,E01013570,88.5
9577,E01013571,45.7
9578,E01013572,59.4
9579,E01013573,57.0
9580,E01013470,15.4
9581,E01013474,50.4
9582,E01013476,19.9
9583,E01033171,11.9
9584,E01033172,7.9
9585,E01013471,85.5
9586,E01013473,56.5
9587,E01013475,74.1
9588,E01013477,45.1
9589,E01013502,47.4
9590,E01013503,47.6
9591,E01013472,26.1
9592,E01013497,51.8
9593,E01013504,56.5
9594,E01013583,21.9
9595,E01013590,38.7
9596,E01013591,80.0
9597,E01013492,35.4
9598,E01013493,64.8
9599,E01013494,26.5
9600,E01013495,61.7
9601,E01013496,64.7
9602,E01013498,29.5
9603,E01013499,22.4
9604,E01013500,57.1
9605,E01013501,47.2
9606,E01013584,10.0
9607,E01013585,25.8
9608,E01013586,74.9
9609,E01013587,73.5
9610,E01013588,7.2
9611,E01013589,47.0
9612,E01013517,28.3
9613,E01013518,41.5
9614,E01013521,52.0
9615,E01033168,49.5
9616,E01033169,16.0
9617,E01033170,40.1
9618,E01013514,43.8
9619,E01013515,26.8
9620,E01013519,23.9
9621,E01013520,28.2
9622,E01013615,5.2
9623,E01013616,19.6
9624,E01013618,30.3
9625,E01013619,24.5
9626,E01013733,10.3
9627,E01013734,11.5
9628,E01013735,75.7
9629,E01013736,39.2
9630,E01013737,70.5
9631,E01013600,36.5
9632,E01013601,50.7
9633,E01013602,20.4
9634,E01013603,37.7
9635,E01013604,53.3
9636,E01013605,32.8
9637,E01013617,14.1
9638,E01013620,62.4
9639,E01013621,39.5
9640,E01013622,87.2
9641,E01013623,18.7
9642,E01013732,68.2
9643,E01013739,57.7
9644,E01013740,43.5
9645,E01013741,51.1
9646,E01013625,113.0
9647,E01013628,49.4
9648,E01013715,143.1
9649,E01013716,69.6
9650,E01013738,30.3
9651,E01013624,58.5
9652,E01013626,199.2
9653,E01013627,89.4
9654,E01013629,65.1
9655,E01013630,177.7
9656,E01013606,55.0
9657,E01013607,13.9
9658,E01013680,50.6
9659,E01013685,58.1
9660,E01013686,56.7
9661,E01013696,47.1
9662,E01013697,14.5
9663,E01013699,38.2
9664,E01032862,80.7
9665,E01032863,40.7
9666,E01032865,81.9
9667,E01013713,143.4
9668,E01013714,116.1
9669,E01013717,66.0
9670,E01013718,164.1
9671,E01013719,213.4
9672,E01013720,26.5
9673,E01013651,76.2
9674,E01013652,87.9
9675,E01013653,50.1
9676,E01013655,64.6
9677,E01013721,32.1
9678,E01013723,67.9
9679,E01013725,45.9
9680,E01013726,27.5
9681,E01013728,80.1
9682,E01013694,49.3
9683,E01013700,51.5
9684,E01013770,52.7
9685,E01013771,59.0
9686,E01013773,51.6
9687,E01013681,79.9
9688,E01013682,129.2
9689,E01013683,135.4
9690,E01013684,73.6
9691,E01013654,93.1
9692,E01013656,220.8
9693,E01013657,142.4
9694,E01013658,139.6
9695,E01013659,194.6
9696,E01013743,282.2
9697,E01013745,73.1
9698,E01013742,262.9
9699,E01013744,337.8
9700,E01013746,46.6
9701,E01013748,193.8
9702,E01013754,100.9
9703,E01013755,171.6
9704,E01013660,57.8
9705,E01013661,70.1
9706,E01013664,74.3
9707,E01013665,59.8
9708,E01013667,42.6
9709,E01013668,21.2
9710,E01013729,14.2
9711,E01013780,49.5
9712,E01013783,60.9
9713,E01013785,15.1
9714,E01013786,53.0
9715,E01013662,63.4
9716,E01013663,79.6
9717,E01013747,50.6
9718,E01013749,63.7
9719,E01013750,153.6
9720,E01013758,110.4
9721,E01013751,217.8
9722,E01013752,194.3
9723,E01013753,241.2
9724,E01013760,172.0
9725,E01013761,286.1
9726,E01013762,191.2
9727,E01013774,142.5
9728,E01013776,117.7
9729,E01013778,66.2
9730,E01013779,146.7
9731,E01013781,123.3
9732,E01013782,70.5
9733,E01013784,102.1
9734,E01013666,39.4
9735,E01013669,31.2
9736,E01013670,13.1
9737,E01013671,51.6
9738,E01013672,23.1
9739,E01013631,17.8
9740,E01013632,54.1
9741,E01013638,32.1
9742,E01013640,61.4
9743,E01013756,75.1
9744,E01013757,64.6
9745,E01013759,84.1
9746,E01013763,159.1
9747,E01013764,77.0
9748,E01013765,205.1
9749,E01013766,78.7
9750,E01013633,45.5
9751,E01013634,54.5
9752,E01013637,53.6
9753,E01013639,52.5
9754,E01013641,82.7
9755,E01013635,40.5
9756,E01013636,29.6
9757,E01013775,42.9
9758,E01013777,97.6
9759,E01013642,80.1
9760,E01013643,113.1
9761,E01013649,12.6
9762,E01013650,158.6
9763,E01013702,49.2
9764,E01013710,64.0
9765,E01013711,49.7
9766,E01013613,65.0
9767,E01013614,61.3
9768,E01013687,30.8
9769,E01013688,27.5
9770,E01013703,33.4
9771,E01013704,44.6
9772,E01013706,25.2
9773,E01013707,38.1
9774,E01013712,44.9
9775,E01013608,46.8
9776,E01013609,13.9
9777,E01013610,50.1
9778,E01013611,28.8
9779,E01013612,16.2
9780,E01013678,22.8
9781,E01013679,67.5
9782,E01013691,66.2
9783,E01013692,57.6
9784,E01013693,80.6
9785,E01013673,62.8
9786,E01013674,51.9
9787,E01013675,66.8
9788,E01013676,76.2
9789,E01013677,51.2
9790,E01013695,27.5
9791,E01013698,44.7
9792,E01013767,29.4
9793,E01013768,51.6
9794,E01013772,84.3
9795,E01032597,74.2
9796,E01013689,54.4
9797,E01013690,24.0
9798,E01013705,31.0
9799,E01013709,63.0
9800,E01032599,38.2
9801,E01013722,56.5
9802,E01013727,58.7
9803,E01013730,66.8
9804,E01013731,16.5
9805,E01032602,66.5
9806,E01013646,58.6
9807,E01013647,102.2
9808,E01013648,91.9
9809,E01032875,123.8
9810,E01032867,25.6
9811,E01032868,78.1
9812,E01032872,98.0
9813,E01032873,64.8
9814,E01013887,50.9
9815,E01013892,49.2
9816,E01013893,24.4
9817,E01013894,34.2
9818,E01013879,35.0
9819,E01013880,11.8
9820,E01013881,37.8
9821,E01013882,30.9
9822,E01013885,42.5
9823,E01013886,27.1
9824,E01013888,58.2
9825,E01013889,36.4
9826,E01013890,103.1
9827,E01013891,49.3
9828,E01013875,75.2
9829,E01013876,24.2
9830,E01013877,45.3
9831,E01013878,31.6
9832,E01013883,29.1
9833,E01013884,49.0
9834,E01013853,40.4
9835,E01013854,45.8
9836,E01013855,74.4
9837,E01013856,53.2
9838,E01033397,71.4
9839,E01033398,70.5
9840,E01013963,57.1
9841,E01013964,41.2
9842,E01013965,55.5
9843,E01013966,58.9
9844,E01013967,27.1
9845,E01013827,40.8
9846,E01013828,53.0
9847,E01013834,72.5
9848,E01013835,60.7
9849,E01013836,53.1
9850,E01013829,42.3
9851,E01013830,37.8
9852,E01013831,41.2
9853,E01013832,39.6
9854,E01013833,21.8
9855,E01013935,39.6
9856,E01013968,24.6
9857,E01013969,68.8
9858,E01013970,100.1
9859,E01013971,76.6
9860,E01013817,78.7
9861,E01013818,48.2
9862,E01013822,76.8
9863,E01013825,52.3
9864,E01013826,41.4
9865,E01013837,51.0
9866,E01013838,61.4
9867,E01013839,83.1
9868,E01013840,58.2
9869,E01013841,67.7
9870,E01013819,71.9
9871,E01013820,67.4
9872,E01013821,77.5
9873,E01013823,69.5
9874,E01013824,79.9
9875,E01013864,16.5
9876,E01013865,56.0
9877,E01013866,40.1
9878,E01013867,40.8
9879,E01013937,38.9
9880,E01013938,40.6
9881,E01013941,48.7
9882,E01013943,28.9
9883,E01013972,69.0
9884,E01013936,35.0
9885,E01013939,50.1
9886,E01013940,68.1
9887,E01013942,84.5
9888,E01013843,53.8
9889,E01013844,130.4
9890,E01013845,171.4
9891,E01013847,112.4
9892,E01013810,123.2
9893,E01013811,113.7
9894,E01013812,134.3
9895,E01013842,74.3
9896,E01013846,127.3
9897,E01013930,49.3
9898,E01013931,21.3
9899,E01013932,38.8
9900,E01013933,52.4
9901,E01013934,43.8
9902,E01013859,42.8
9903,E01013861,20.0
9904,E01013868,46.9
9905,E01013929,27.5
9906,E01013954,33.9
9907,E01013959,93.1
9908,E01013960,61.0
9909,E01013962,68.1
9910,E01013813,106.4
9911,E01013814,110.8
9912,E01013815,31.8
9913,E01013816,62.0
9914,E01013958,84.7
9915,E01013961,95.5
9916,E01033399,157.9
9917,E01033401,59.2
9918,E01033405,94.8
9919,E01033409,128.5
9920,E01033411,64.1
9921,E01013913,57.1
9922,E01013914,65.1
9923,E01013915,18.2
9924,E01013916,77.6
9925,E01013917,20.8
9926,E01013858,40.1
9927,E01013860,25.2
9928,E01013862,46.8
9929,E01013863,37.4
9930,E01013944,71.9
9931,E01013945,110.2
9932,E01013947,106.8
9933,E01013948,112.1
9934,E01013953,200.1
9935,E01033395,95.3
9936,E01033396,71.2
9937,E01013977,13.8
9938,E01013978,66.9
9939,E01013979,19.9
9940,E01013981,32.4
9941,E01032520,57.3
9942,E01032522,40.0
9943,E01033404,135.5
9944,E01013918,155.8
9945,E01013919,135.8
9946,E01013920,9.9
9947,E01013921,162.4
9948,E01013957,68.1
9949,E01013980,42.4
9950,E01013982,13.0
9951,E01013983,49.2
9952,E01013984,40.9
9953,E01013985,51.7
9954,E01013924,194.1
9955,E01013926,37.7
9956,E01013928,4.9
9957,E01033408,124.1
9958,E01033410,21.9
9959,E01013973,39.4
9960,E01013974,29.4
9961,E01013975,25.7
9962,E01013976,62.1
9963,E01013895,33.1
9964,E01013896,25.3
9965,E01013901,24.7
9966,E01013902,30.2
9967,E01013897,62.2
9968,E01013898,31.6
9969,E01013899,66.7
9970,E01013900,16.5
9971,E01013903,17.9
9972,E01013907,48.9
9973,E01013905,59.7
9974,E01013908,71.4
9975,E01013909,15.0
9976,E01013912,12.6
9977,E01013904,64.9
9978,E01013906,60.1
9979,E01013910,55.7
9980,E01013911,29.6
9981,E01013849,59.3
9982,E01013850,56.5
9983,E01013851,59.3
9984,E01013852,62.0
9985,E01032621,52.9
9986,E01013874,21.3
9987,E01033400,28.0
9988,E01033402,18.8
9989,E01033403,90.7
9990,E01033406,60.5
9991,E01033407,118.5
9992,E01013870,11.9
9993,E01013871,46.1
9994,E01013872,78.8
9995,E01013873,170.8
9996,E01013788,1.0
9997,E01013789,0.3
9998,E01013790,0.5
9999,E01013796,0.7
10000,E01013793,1.2
10001,E01013800,5.0
10002,E01013801,3.6
10003,E01013809,0.8
10004,E01013798,20.6
10005,E01013799,28.4
10006,E01013802,14.5
10007,E01013803,9.6
10008,E01013791,1.1
10009,E01013792,0.8
10010,E01013797,1.0
10011,E01013804,1.3
10012,E01013805,0.5
10013,E01013787,0.3
10014,E01013794,0.4
10015,E01013795,0.5
10016,E01013806,4.4
10017,E01013807,9.1
10018,E01013808,8.3
10019,E01019400,20.0
10020,E01019401,8.3
10021,E01019402,28.0
10022,E01019404,18.1
10023,E01019406,1.2
10024,E01019423,1.3
10025,E01019424,4.4
10026,E01019477,1.1
10027,E01019403,47.0
10028,E01019444,11.3
10029,E01019468,4.5
10030,E01019469,51.7
10031,E01019471,8.9
10032,E01019443,18.9
10033,E01019470,26.0
10034,E01019473,9.7
10035,E01019474,41.9
10036,E01019475,15.7
10037,E01019476,5.5
10038,E01019420,5.1
10039,E01019442,4.5
10040,E01019445,22.2
10041,E01019455,18.2
10042,E01019456,7.1
10043,E01019457,23.9
10044,E01019429,2.2
10045,E01019454,19.2
10046,E01019460,15.3
10047,E01019461,46.6
10048,E01019462,17.5
10049,E01019405,0.3
10050,E01019414,3.2
10051,E01019428,7.0
10052,E01019430,6.0
10053,E01019421,39.8
10054,E01019422,7.2
10055,E01019432,12.4
10056,E01019458,22.5
10057,E01019459,44.6
10058,E01019463,46.5
10059,E01019408,29.2
10060,E01019409,50.4
10061,E01019412,15.7
10062,E01019413,70.4
10063,E01019416,11.6
10064,E01019407,31.8
10065,E01019415,17.4
10066,E01019417,28.2
10067,E01019419,4.6
10068,E01019410,52.0
10069,E01019411,34.7
10070,E01019418,9.7
10071,E01019447,4.4
10072,E01019449,5.9
10073,E01019431,32.0
10074,E01019433,25.6
10075,E01019438,59.9
10076,E01019451,3.8
10077,E01019464,3.7
10078,E01019434,36.3
10079,E01019435,26.9
10080,E01019436,30.2
10081,E01019439,27.2
10082,E01019440,38.4
10083,E01019446,41.1
10084,E01019448,1.8
10085,E01019450,30.6
10086,E01019465,4.6
10087,E01019467,2.0
10088,E01019425,12.5
10089,E01019426,4.1
10090,E01019427,6.8
10091,E01019472,0.5
10092,E01019437,38.5
10093,E01019441,48.7
10094,E01019452,36.5
10095,E01019453,11.3
10096,E01032613,1.0
10097,E01019478,1.3
10098,E01019479,10.2
10099,E01019491,8.7
10100,E01019493,28.4
10101,E01019494,4.5
10102,E01019492,30.8
10103,E01019495,1.8
10104,E01019524,1.2
10105,E01019525,5.2
10106,E01019496,2.4
10107,E01019497,11.6
10108,E01019498,17.5
10109,E01019523,15.2
10110,E01019483,17.0
10111,E01019484,2.2
10112,E01019485,2.3
10113,E01019488,15.0
10114,E01019486,21.4
10115,E01019487,20.4
10116,E01019489,30.0
10117,E01019490,37.0
10118,E01019502,4.8
10119,E01019504,2.4
10120,E01019508,29.5
10121,E01019509,17.6
10122,E01019510,31.2
10123,E01019512,18.4
10124,E01019503,3.2
10125,E01019505,28.9
10126,E01019506,0.8
10127,E01019507,22.3
10128,E01019511,6.1
10129,E01019480,3.3
10130,E01019482,12.3
10131,E01019520,0.7
10132,E01019521,6.7
10133,E01019522,15.8
10134,E01019481,11.9
10135,E01019514,57.4
10136,E01019515,51.0
10137,E01019516,4.3
10138,E01019519,43.8
10139,E01019499,7.4
10140,E01019500,7.4
10141,E01019501,12.8
10142,E01019513,6.2
10143,E01019517,28.3
10144,E01019518,12.5
10145,E01019526,26.3
10146,E01019528,9.3
10147,E01019572,23.7
10148,E01019573,4.1
10149,E01019574,10.9
10150,E01019563,6.4
10151,E01019564,4.2
10152,E01019565,7.0
10153,E01019566,8.0
10154,E01019568,58.9
10155,E01019527,1.9
10156,E01019529,39.2
10157,E01019530,40.4
10158,E01019531,18.7
10159,E01019553,37.6
10160,E01019541,16.0
10161,E01019542,26.1
10162,E01019543,6.7
10163,E01019544,28.8
10164,E01019571,42.3
10165,E01019532,12.9
10166,E01019533,7.0
10167,E01019534,9.4
10168,E01019535,13.7
10169,E01019536,27.4
10170,E01019549,3.9
10171,E01019550,42.9
10172,E01019551,15.9
10173,E01019552,14.7
10174,E01019567,16.3
10175,E01019537,34.1
10176,E01019569,22.5
10177,E01019570,33.9
10178,E01019580,39.6
10179,E01019581,43.6
10180,E01019557,25.7
10181,E01019558,17.2
10182,E01019559,24.9
10183,E01019560,32.3
10184,E01019561,45.3
10185,E01019562,30.7
10186,E01019539,44.8
10187,E01019540,39.8
10188,E01019555,54.1
10189,E01019590,28.9
10190,E01019591,45.6
10191,E01019538,40.3
10192,E01019554,54.0
10193,E01019556,27.6
10194,E01019579,22.5
10195,E01033387,12.1
10196,E01033388,28.1
10197,E01019586,44.2
10198,E01019587,28.9
10199,E01019588,35.0
10200,E01019589,31.8
10201,E01019592,13.2
10202,E01019593,27.6
10203,E01019545,44.0
10204,E01019546,52.8
10205,E01019547,29.0
10206,E01019548,23.0
10207,E01019582,27.0
10208,E01019583,31.5
10209,E01019585,13.9
10210,E01019575,60.7
10211,E01019576,30.3
10212,E01019577,32.1
10213,E01019578,65.6
10214,E01019602,0.8
10215,E01019614,1.4
10216,E01019615,0.6
10217,E01019631,1.0
10218,E01019600,0.8
10219,E01019604,1.2
10220,E01019606,0.3
10221,E01019618,0.5
10222,E01019599,0.8
10223,E01019601,15.4
10224,E01019613,0.2
10225,E01019617,0.4
10226,E01019608,11.0
10227,E01019610,1.7
10228,E01019630,1.1
10229,E01019609,3.4
10230,E01019621,3.5
10231,E01019622,19.1
10232,E01019624,15.7
10233,E01019627,2.4
10234,E01019628,9.1
10235,E01019619,1.9
10236,E01019620,1.4
10237,E01019623,6.0
10238,E01019625,43.4
10239,E01019626,2.8
10240,E01019632,0.8
10241,E01019633,4.0
10242,E01019634,1.8
10243,E01019635,4.2
10244,E01019636,13.7
10245,E01019595,2.3
10246,E01019605,0.3
10247,E01019611,0.3
10248,E01019616,0.6
10249,E01019594,17.7
10250,E01019596,24.1
10251,E01019597,12.9
10252,E01019598,25.6
10253,E01019603,0.4
10254,E01019607,0.4
10255,E01019612,0.8
10256,E01019629,0.3
10257,E01019644,61.2
10258,E01019646,31.9
10259,E01019663,15.8
10260,E01019664,34.2
10261,E01019665,37.1
10262,E01019657,49.8
10263,E01019660,34.0
10264,E01019661,14.7
10265,E01019662,54.6
10266,E01019672,28.1
10267,E01019690,66.8
10268,E01019670,5.0
10269,E01019671,1.1
10270,E01019701,4.3
10271,E01019673,11.7
10272,E01019702,22.2
10273,E01019703,11.1
10274,E01019704,1.0
10275,E01019658,14.2
10276,E01019659,22.7
10277,E01019674,43.8
10278,E01019688,47.3
10279,E01019689,41.4
10280,E01019666,19.4
10281,E01019667,24.5
10282,E01019668,41.7
10283,E01019669,19.0
10284,E01019656,0.9
10285,E01019691,7.7
10286,E01019692,20.7
10287,E01019693,57.6
10288,E01019694,29.6
10289,E01019696,26.6
10290,E01019683,9.5
10291,E01019684,23.1
10292,E01019685,17.0
10293,E01019686,2.7
10294,E01019687,38.7
10295,E01019648,46.3
10296,E01019649,75.2
10297,E01019650,38.4
10298,E01019651,56.0
10299,E01019695,33.5
10300,E01019641,9.0
10301,E01019652,37.8
10302,E01019653,28.4
10303,E01019707,49.3
10304,E01019708,26.1
10305,E01019647,33.4
10306,E01019675,46.0
10307,E01019679,37.3
10308,E01019682,38.2
10309,E01019642,6.0
10310,E01019643,3.9
10311,E01019654,4.3
10312,E01019655,6.7
10313,E01019676,54.7
10314,E01019677,43.7
10315,E01019678,27.0
10316,E01019680,36.9
10317,E01019681,4.1
10318,E01019698,9.9
10319,E01019697,22.9
10320,E01019699,44.3
10321,E01019700,25.3
10322,E01019705,60.1
10323,E01019706,61.0
10324,E01019709,20.5
10325,E01019638,43.6
10326,E01019639,31.5
10327,E01019640,20.8
10328,E01019645,48.3
10329,E01032614,69.0
10330,E01019733,42.0
10331,E01019752,44.9
10332,E01019753,10.1
10333,E01019763,0.4
10334,E01019728,66.8
10335,E01019729,19.7
10336,E01019730,30.0
10337,E01019731,37.8
10338,E01019732,15.8
10339,E01019738,32.4
10340,E01019739,39.0
10341,E01019740,69.9
10342,E01019750,13.8
10343,E01019751,46.8
10344,E01019768,16.2
10345,E01019727,8.0
10346,E01019749,27.1
10347,E01019754,0.3
10348,E01019756,36.3
10349,E01019757,22.9
10350,E01019758,14.3
10351,E01019746,25.0
10352,E01019747,3.8
10353,E01019748,13.3
10354,E01019755,1.2
10355,E01019766,3.8
10356,E01019711,2.9
10357,E01019734,0.8
10358,E01019743,33.2
10359,E01019744,2.2
10360,E01019745,26.5
10361,E01019712,1.2
10362,E01019713,0.7
10363,E01019764,2.2
10364,E01019765,12.3
10365,E01019767,10.1
10366,E01019710,9.8
10367,E01019715,107.0
10368,E01019717,41.6
10369,E01019722,2.5
10370,E01019723,13.1
10371,E01019716,36.2
10372,E01019724,20.1
10373,E01019759,7.5
10374,E01019760,79.5
10375,E01019761,36.0
10376,E01019714,0.5
10377,E01019725,2.2
10378,E01019726,6.9
10379,E01019762,9.9
10380,E01019718,1.6
10381,E01019719,22.9
10382,E01019720,38.9
10383,E01019721,5.8
10384,E01019735,1.1
10385,E01019736,0.1
10386,E01019737,0.9
10387,E01019741,2.5
10388,E01019742,0.5
10389,E01019801,6.3
10390,E01019802,45.9
10391,E01019803,10.1
10392,E01019804,64.1
10393,E01019805,6.9
10394,E01019806,29.5
10395,E01019807,56.9
10396,E01019778,10.5
10397,E01019779,21.2
10398,E01019790,12.1
10399,E01019816,1.1
10400,E01019780,47.0
10401,E01019781,17.6
10402,E01019782,9.9
10403,E01019786,25.1
10404,E01019827,1.8
10405,E01019770,0.5
10406,E01019787,7.1
10407,E01019788,8.3
10408,E01019794,28.4
10409,E01019783,48.5
10410,E01019784,25.5
10411,E01019785,12.0
10412,E01019793,13.7
10413,E01019795,31.1
10414,E01019798,2.5
10415,E01019821,3.6
10416,E01019822,1.1
10417,E01019823,21.7
10418,E01019771,0.8
10419,E01019772,1.0
10420,E01019828,11.1
10421,E01019829,13.8
10422,E01019796,14.1
10423,E01019797,30.3
10424,E01019799,2.6
10425,E01019800,15.0
10426,E01019808,8.2
10427,E01019826,24.3
10428,E01019769,0.5
10429,E01019774,2.6
10430,E01019824,6.4
10431,E01019830,8.0
10432,E01019831,14.9
10433,E01019809,8.7
10434,E01019810,23.5
10435,E01019811,25.2
10436,E01019812,3.9
10437,E01019813,9.5
10438,E01019825,9.3
10439,E01019773,23.6
10440,E01019775,9.2
10441,E01019776,12.0
10442,E01019777,19.2
10443,E01019814,1.7
10444,E01019817,10.2
10445,E01019818,7.3
10446,E01019819,0.9
10447,E01019820,5.6
10448,E01019791,3.8
10449,E01019792,22.1
10450,E01019815,7.4
10451,E01032586,13.9
10452,E01019839,0.8
10453,E01019845,13.6
10454,E01019846,26.2
10455,E01019866,0.5
10456,E01019840,7.9
10457,E01019841,1.3
10458,E01019847,6.6
10459,E01019848,13.7
10460,E01033532,2.1
10461,E01033533,66.4
10462,E01033534,63.0
10463,E01019873,2.1
10464,E01019874,56.0
10465,E01019875,60.4
10466,E01019881,3.0
10467,E01019882,3.3
10468,E01019832,1.3
10469,E01019833,3.2
10470,E01019834,0.8
10471,E01019835,3.0
10472,E01019867,1.0
10473,E01019868,0.7
10474,E01019869,3.4
10475,E01019880,5.9
10476,E01019843,0.6
10477,E01019853,5.0
10478,E01019854,16.8
10479,E01019855,1.5
10480,E01019844,9.2
10481,E01019856,57.0
10482,E01019857,25.4
10483,E01019858,52.6
10484,E01019859,37.6
10485,E01019860,54.5
10486,E01019861,35.4
10487,E01019862,3.1
10488,E01019863,50.8
10489,E01019864,20.4
10490,E01019865,37.3
10491,E01019876,36.9
10492,E01019877,25.2
10493,E01019878,52.1
10494,E01019879,19.3
10495,E01019850,0.9
10496,E01019851,7.9
10497,E01019852,4.7
10498,E01019870,0.8
10499,E01019871,1.0
10500,E01019872,4.7
10501,E01019837,16.4
10502,E01019838,46.1
10503,E01033531,17.2
10504,E01033536,22.0
10505,E01033537,18.1
10506,E01019842,5.0
10507,E01019883,26.7
10508,E01019885,25.4
10509,E01033535,45.4
10510,E01025631,30.8
10511,E01025632,51.2
10512,E01025633,30.1
10513,E01025635,38.4
10514,E01025634,13.7
10515,E01025638,5.4
10516,E01025639,6.2
10517,E01025640,6.8
10518,E01025645,0.7
10519,E01025666,50.4
10520,E01025667,31.1
10521,E01025668,63.0
10522,E01025669,14.9
10523,E01025636,38.0
10524,E01025637,33.8
10525,E01025652,30.5
10526,E01025653,50.3
10527,E01025654,28.2
10528,E01025655,53.7
10529,E01025656,49.5
10530,E01025625,36.0
10531,E01025626,1.5
10532,E01025627,7.0
10533,E01025651,59.9
10534,E01025657,13.3
10535,E01025660,36.1
10536,E01025641,13.3
10537,E01025642,18.0
10538,E01025643,21.5
10539,E01025649,14.4
10540,E01025650,10.6
10541,E01025610,37.3
10542,E01025611,32.8
10543,E01025612,9.3
10544,E01025658,27.2
10545,E01025659,7.2
10546,E01025615,2.5
10547,E01025646,12.3
10548,E01025647,25.9
10549,E01025648,55.0
10550,E01025613,1.9
10551,E01025614,25.6
10552,E01025620,8.1
10553,E01025621,1.0
10554,E01025644,9.4
10555,E01025616,8.8
10556,E01025617,1.5
10557,E01025618,29.9
10558,E01025619,20.4
10559,E01025661,7.5
10560,E01025662,2.6
10561,E01025663,4.0
10562,E01025664,1.0
10563,E01025665,18.2
10564,E01025622,18.7
10565,E01025623,15.9
10566,E01025624,11.0
10567,E01025629,46.0
10568,E01025630,20.6
10569,E01032603,33.7
10570,E01025692,17.1
10571,E01025693,2.6
10572,E01033386,52.0
10573,E01025699,65.1
10574,E01025700,7.2
10575,E01025701,72.4
10576,E01025703,59.4
10577,E01025704,5.9
10578,E01025705,21.0
10579,E01025706,12.4
10580,E01025720,41.5
10581,E01025721,48.6
10582,E01025722,37.6
10583,E01025723,61.0
10584,E01025724,109.8
10585,E01025725,51.7
10586,E01025695,8.1
10587,E01025696,13.6
10588,E01025697,47.6
10589,E01025698,32.6
10590,E01025744,5.6
10591,E01025745,13.8
10592,E01025746,4.2
10593,E01025747,47.9
10594,E01025740,2.7
10595,E01025741,43.7
10596,E01025742,47.4
10597,E01025743,6.9
10598,E01025689,38.9
10599,E01025690,75.4
10600,E01025707,46.4
10601,E01025709,37.2
10602,E01025760,0.6
10603,E01025761,0.8
10604,E01025768,0.7
10605,E01025769,1.1
10606,E01025702,20.3
10607,E01025715,38.8
10608,E01025716,45.8
10609,E01025717,16.6
10610,E01025718,27.7
10611,E01025719,43.9
10612,E01025708,4.3
10613,E01025710,3.6
10614,E01025711,28.8
10615,E01025712,12.1
10616,E01025713,30.0
10617,E01025714,21.2
10618,E01025674,4.2
10619,E01025675,13.8
10620,E01025676,3.5
10621,E01025677,24.8
10622,E01025732,4.3
10623,E01025733,18.2
10624,E01025734,4.8
10625,E01025735,5.5
10626,E01025748,13.4
10627,E01025749,3.5
10628,E01025750,17.8
10629,E01025751,19.7
10630,E01025726,38.0
10631,E01025727,35.6
10632,E01025728,31.6
10633,E01025729,38.4
10634,E01025737,7.7
10635,E01025739,5.6
10636,E01025685,49.5
10637,E01025686,9.2
10638,E01025730,0.5
10639,E01025731,6.8
10640,E01025687,0.5
10641,E01025688,3.0
10642,E01025736,4.7
10643,E01025738,1.5
10644,E01025756,19.4
10645,E01025757,60.6
10646,E01025758,5.4
10647,E01025759,22.3
10648,E01025752,20.5
10649,E01025753,45.8
10650,E01025754,58.0
10651,E01025755,57.0
10652,E01025679,5.7
10653,E01025680,60.3
10654,E01025681,25.9
10655,E01025682,16.7
10656,E01025678,38.0
10657,E01025683,67.9
10658,E01025684,55.6
10659,E01025762,23.3
10660,E01025763,16.5
10661,E01025764,50.1
10662,E01025765,48.8
10663,E01025766,17.0
10664,E01025767,12.2
10665,E01025670,30.9
10666,E01025671,17.2
10667,E01025672,9.0
10668,E01025673,10.7
10669,E01025770,0.3
10670,E01025809,0.4
10671,E01025815,0.2
10672,E01025781,1.3
10673,E01025782,33.5
10674,E01025783,0.7
10675,E01025785,2.9
10676,E01025786,25.1
10677,E01025787,2.1
10678,E01025772,30.3
10679,E01025773,17.3
10680,E01025774,9.3
10681,E01025775,5.4
10682,E01025776,5.5
10683,E01025771,0.6
10684,E01025778,5.2
10685,E01025779,28.5
10686,E01025780,16.1
10687,E01025784,0.6
10688,E01025788,0.4
10689,E01025777,0.7
10690,E01025808,0.5
10691,E01025810,0.5
10692,E01025816,1.0
10693,E01025789,1.6
10694,E01025794,7.8
10695,E01025797,2.0
10696,E01025802,18.1
10697,E01025803,33.2
